"","Rank","County","pop14","pop19","pop_change","pct_change"
"1","1","Kendall","  118,194","  126,054","  7,860","6.65%"
"2","2","Champaign","  204,214","  209,922","  5,708","2.8%"
"3","3","Monroe","   33,373","   34,168","    795","2.38%"
"4","4","Kane","  521,874","  531,376","  9,502","1.82%"
"5","5","Will","  682,108","  689,315","  7,207","1.06%"
"6","6","Grundy","   50,173","   50,666","    493","0.98%"
"7","7","Williamson","   66,808","   67,102","    294","0.44%"
"8","8","DuPage","  926,485","  929,060","  2,575","0.28%"
"9","9","McLean","  172,390","  172,578","    188","0.11%"
"10","10","McHenry","  307,888","  307,714","   -174","-0.06%"
"11","","Chicago","2,712,608","2,709,534"," -3,074","-0.11%"
"12","11","Lake","  703,170","  701,473"," -1,697","-0.24%"
"13","12","Effingham","   34,280","   34,137","   -143","-0.42%"
"14","13","DeKalb","  104,919","  104,366","   -553","-0.53%"
"15","14","Cook","5,227,827","5,198,275","-29,552","-0.57%"
"16","15","Jasper","    9,658","    9,594","    -64","-0.66%"
"17","16","Woodford","   38,965","   38,700","   -265","-0.68%"
"18","17","Clinton","   37,952","   37,634","   -318","-0.84%"
"19","18","Boone","   54,005","   53,537","   -468","-0.87%"
"20","19","Piatt","   16,552","   16,401","   -151","-0.91%"
"21","20","Sangamon","  198,808","  196,861"," -1,947","-0.98%"
"22","21","Cumberland","   10,950","   10,836","   -114","-1.04%"
"23","","Suburban Cook County","2,515,219","2,488,741","-26,478","-1.05%"
"24","22","Madison","  267,937","  264,776"," -3,161","-1.18%"
"25","23","Douglas","   19,867","   19,623","   -244","-1.23%"
"26","24","Johnson","   12,650","   12,494","   -156","-1.23%"
"27","25","Wayne","   16,627","   16,402","   -225","-1.35%"
"28","26","Adams","   67,113","   66,085"," -1,028","-1.53%"
"29","27","Henry","   50,031","   49,267","   -764","-1.53%"
"30","28","Wabash","   11,730","   11,546","   -184","-1.57%"
"31","29","Moultrie","   14,896","   14,641","   -255","-1.71%"
"32","30","Kankakee","  112,682","  110,637"," -2,045","-1.81%"
"33","31","Jefferson","   38,716","   37,985","   -731","-1.89%"
"34","32","Tazewell","  135,872","  133,195"," -2,677","-1.97%"
"35","33","Rock Island","  146,964","  143,873"," -3,091","-2.1%"
"36","34","Franklin","   39,774","   38,923","   -851","-2.14%"
"37","35","Shelby","   22,216","   21,737","   -479","-2.16%"
"38","36","Fayette","   22,041","   21,565","   -476","-2.16%"
"39","37","St. Clair","  268,415","  262,338"," -6,077","-2.26%"
"40","38","Hamilton","    8,371","    8,176","   -195","-2.33%"
"41","39","Richland","   16,144","   15,766","   -378","-2.34%"
"42","40","Peoria","  187,197","  182,770"," -4,427","-2.36%"
"43","41","Randolph","   33,091","   32,295","   -796","-2.41%"
"44","42","Lee","   35,248","   34,389","   -859","-2.44%"
"45","43","Winnebago","  292,026","  284,819"," -7,207","-2.47%"
"46","44","LaSalle","  112,698","  109,737"," -2,961","-2.63%"
"47","45","Menard","   12,658","   12,306","   -352","-2.78%"
